Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109C10FX; 201203RE; 340CJCFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601102MQ";"201103RE;C; 42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C; 601102MQ;E"
4;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109B02FX; 20101AFX; 340101MQ; 42004AFX; 42006CFX; 601R13FX";aucune donnée
2;B;non;43,83;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C08FX; 385CJB03; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C3DFX";"201103RE;C; 42005CFX;A; 42006CFX;A; 42008CFX;A; 42014CFX;A; 601103MQ;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"201203RE; 340CJCFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601103MQ";"201103RE;B; 42005CFX;C; 42006CFX;B; 42008CFX;B; 42014CFX;B; 601102MQ;D"
1;A;non;59,64;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"109B02FX; 42004AFX; 42005AFX; 42006AFX";"109A01FX;Aucun résultat; 42004AFX;Aucun résultat; 42005AFX;Aucun résultat; 42006AFX;Aucun résultat; 601R13FX;Aucun résultat; 604102MQ;Aucun résultat"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"109C10FX; 201203RE; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601102MQ; 604100MQ";"201103RE;C; 42005CFX;C; 42006CFX;C; 42008CFX;B; 42014CFX;C; 601102MQ;E"
4;A;non;75;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109A12FX;B; 3500BDFX;A; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;B"
2;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C24FX; 42006CFX; 42014DFX; 42015DFX; 601CJBFX; 604C3DFX";"109A01FX;B; 42005CFX;D; 42008CFX;A; 42014CFX;D; 42016BFX;C; 601103MQ;C"
2;B;non;77,59;Non;Oui;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;non;CC;oui;oui;"20101AFX; 42004AFX; 42005AFX; 42006AFX";"109C10FX;E; 42004AFX;E; 42005AFX;E; 42006AFX;E"
5;B;non;75,4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006EFX; 42014CFX; 601103MQ; 604102MQ";"340102MQ;D; 370CJA03;D; 42005BFX;B; 42006CFX;C; 42008CFX;B"
2;B;non;75,31;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201203RE; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"3500BDFX;B; 42005CFX;B; 42006CFX;A; 42008CFX;A; 42014CFX;B"
3;B;non;79,58;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005CFX;C; 42006CFX;C; 42008CFX;B; 42014CFX;C"
3;B;non;86,64;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;non;CC;non;non;"42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109B19FX; 20101AFX; 340102MQ; 42004AFX; 42005AFX; 42006AFX; 601102MQ";"109A01FX;B; 201105RE;E; 340101MQ;C; 401ZN1FX;D; 601101MQ;C; 604014FX;C"
5;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX; 604C3DFX";"42005BFX;A; 42007BFX;A; 42014BFX;A; 42016BFX;A; 601103MQ;B; 604103MQ;A"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109B28FX;C; 42005BFX;D; 42007BFX;C; 42014BFX;D; 42016BFX;C; 604102MQ;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;oui;non;"109B19FX; 42005BFX; 42014BFX; 42016BFX; 601101MQ; 604100MQ";"109B28FX;E; 340102MQ;D; 42005BFX;E; 42007BFX;D; 42014BFX;E; 42016BFX;E; 601101MQ;E; 604101MQ;E"
1;A;non;85,88;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109B22FX;C; 340102MQ;B; 42005BFX;B; 42007BFX;A; 42014BFX;B; 42016BFX;C; 601102MQ;C; 604103MQ;B"
1;A;non;72,5;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C24FX; 340102MQ; 42005BFX; 42014BFX; 601103MQ; 604103MQ";"109B02FX;B; 201105RE;C; 340101MQ;B; 42006AFX;C; 42007BFX;C; 42016BFX;D; 601102MQ;D"
1;B;non;67,45;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109B19FX; 20101AFX; 42004AFX; 42005AFX; 42006AFX; 601101MQ";"109B28FX;E; 201016RE;D; 203CKA03;E; 601R13FX;D"
1;A;non;74,46;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109B28FX;C; 340102MQ;D; 42005BFX;D; 42007BFX;D; 42014BFX;B; 42016BFX;C; 601101MQ;D; 604103MQ;B"
1;A;non;82;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C04FX; 20101AFX; 340102MQ; 42005BFX; 42014BFX";"109A01FX;B; 42004AFX;B; 42007BFX;C; 601102MQ;C; 604101MQ;B"
1;A;non;78,23;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"340CJCFX; 42006CFX; 42007BFX; 42008CFX; 42016DFX; 601101MQ";"109B08FX;B; 201105RE;E; 340102MQ;C; 42005BFX;C; 42007BFX;E; 42014BFX;D; 42016BFX;D; 604102MQ;D"
1;B;non;80,96;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C10FX; 42004AFX; 42007BFX; 42016BFX; 601103MQ; 604102MQ";"109B02FX;B; 201105RE;D; 340102MQ;C; 42004AFX;E; 42005AFX;C; 42006AFX;A; 601102MQ;D"
1;A;non;0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"109A13FX; 20101AFX; 42005BFX; 42014BFX; 42016BFX; 601102MQ";"109A12FX;E; 340101MQ;D; 42005BFX;E; 42007BFX;D; 42014BFX;E; 42016BFX;E; 601102MQ;E; 604101MQ;D"
1;A;non;63,61;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"109A12FX; 20101AFX; 42005AFX; 42006AFX; 601101MQ";"42004AFX;C; 42005AFX;E; 601R13FX;C"
1;A;non;84,46;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109B28FX;C; 340102MQ;A; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;D; 601101MQ;D; 604103MQ;C"
1;A;non;87,04;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"201203RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109A20FX;A; 340102MQ;A; 42005BFX;A; 42007BFX;A; 42014BFX;B; 42016BFX;B; 601102MQ;B; 604101MQ;C"
1;A;non;83,85;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"201103RE; 340102MQ; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109A01FX;C; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;C; 601101MQ;C; 604101MQ;C"
3;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ; 604100MQ";"109B22FX;A; 340102MQ;A; 42005BFX;A; 42007BFX;B; 42014BFX;B; 42016BFX;B; 601102MQ;C; 604014FX;B"
2;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109B02FX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"340102MQ;B; 42005BFX;D; 42007BFX;C; 42014BFX;D; 42016BFX;B; 601102MQ;C; 604102MQ;B"
1;A;non;82,12;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109B02FX;B; 340102MQ;B; 42005BFX;A; 42007BFX;B; 42014BFX;C; 42016BFX;C; 601101MQ;C; 604103MQ;A"
1;A;non;74,68;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109B25FX; 20101AFX; 42005AFX; 42007BFX; 42014BFX; 604C3DFX";"109A01FX;D; 42004AFX;D; 42005AFX;E; 42006AFX;D; 601102MQ;E; 604102MQ;D"
1;A;non;93,46;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109A13FX;A; 340102MQ;A; 42005BFX;A; 42007BFX;A; 42014BFX;A; 42016BFX;A; 601CJWFX;B; 604102MQ;A"
1;B;non;72,6;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"109A15FX; 20101AFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601102MQ";"101CJA03;D; 109B22FX;D; 340102MQ;C; 42004AFX;A; 42005AFX;B; 601102MQ;E"
1;B;non;60,38;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42004AFX; 42006AFX; 601102MQ; 604102MQ";"109B19FX;C; 201016RE;D; 340102MQ;D; 601101MQ;D; 604102MQ;E"
1;A;non;0;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;non;CC;non;non;"109A13FX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109B02FX;C; 340102MQ;C; 42005BFX;B; 42007BFX;B; 42014BFX;C; 42016BFX;B; 601101MQ;D; 604102MQ;C"
1;A;non;77,65;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201105RE; 340102MQ; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 604C2FFX";"109B28FX;A; 201105RE;E; 42005AFX;D; 42016BFX;E; 601102MQ;C; 604102MQ;B"
2;A;non;74,71;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42005CFX; 42014BFX; 601102MQ; 607CJA03";"109A01FX;D; 340102MQ;D; 42005BFX;C; 42007BFX;D; 42014BFX;E; 42016BFX;C; 601101MQ;D; 604103MQ;C"
2;B;non;73,96;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"201105RE; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601102MQ";"109B22FX;C; 340102MQ;D; 42004AFX;C; 42005AFX;B; 601101MQ;C; 604102MQ;D"
2;B;non;80,92;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42004AFX; 42005AFX; 42007BFX; 42016BFX; 601101MQ; 604101MQ";"109A13FX;D; 201105RE;E; 340102MQ;C; 42004AFX;E; 42005AFX;E; 42006AFX;D; 601101MQ;E"
2;A;non;68,1;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;oui;"340102MQ; 42014BFX; 520C01FX; 601102MQ; 604100MQ";"109B02FX;A; 340101MQ;D; 42005BFX;D; 42007BFX;C; 42014BFX;E; 42016BFX;C; 601101MQ;D; 604100MQ;E"
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"109A01FX; 340CJFFX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"340102MQ;A; 42005BFX;B; 42007BFX;B; 42014BFX;C; 42016BFX;B; 601102MQ;D; 604102MQ;B"
1;B;non;69,57;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"109B03FX; 340101MQ; 42005AFX; 42006AFX";"109A01FX;E; 340101MQ;E; 601101MQ;E; 604102MQ;E"
2;A;non;79,92;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"340101MQ; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601102MQ; 604103MQ";"109A13FX;B; 201105RE;D; 340101MQ;E; 42007BFX;E; 42016BFX;E; 601101MQ;C; 604103MQ;E"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"42008DFX; 42014DFX; 42015DFX; 42016DFX";"201203RE;A; 3500BDFX;A; 42005CFX;C; 42006CFX;B; 42008CFX;A"
1;B;non;94;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX; 601CJVFX";"109C20FX;A; 42005BFX;A; 42007BFX;B; 42014BFX;B; 42016BFX;B; 601102MQ;B"
2;B;non;64,29;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"42005BFX;C; 42007BFX;B; 42014BFX;C; 42016BFX;B"
2;B;non;67,91;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42007EFX; 42014BFX";"42005BFX;C; 42006CFX;D; 42007BFX;C; 42014BFX;E"
2;B;non;71,37;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201103RE; 42005CFX; 42006CFX; 42014BFX";"201103RE;E; 42005BFX;D; 42007BFX;C; 42014BFX;E; 42016BFX;C"
1;B;non;72,6;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"20101AFX; 42006AFX; 42007BFX; 42016BFX";"109C08FX;E; 42004AFX;D; 42005AFX;D; 42006AFX;E"
1;B;non;66,28;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"20101AFX; 42004AFX; 42005AFX; 42006AFX";aucune donnée
2;B;non;65;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;non;CC;non;non;"42005CFX; 42014CFX";"42005BFX;C; 42007BFX;B; 42014BFX;C"
2;B;non;76,15;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX";"201103RE;E; 42005BFX;B; 42007BFX;C; 42014BFX;D; 42016BFX;C"
5;B;non;76,1;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"42005BFX;C; 42007BFX;C; 42014BFX;B; 42016BFX;B"
2;B;non;59,54;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RP;oui;non;"20101AFX; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
2;B;non;68,91;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42008CFX; 42014CFX; 601102MQ; 604C1BFX";"201NYA05;D; 340102MQ;B; 42005BFX;B; 42007BFX;B; 42014BFX;C; 42016BFX;C"
1;B;non;74,35;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 350102RE; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601102MQ";"109C01FX;B; 340102MQ;D; 42004AFX;A; 42005AFX;C; 42006AFX;B"
2;B;non;71,52;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005BFX; 42007BFX; 42014BFX; 42016BFX";"201015RE;E; 340CJCFX;D; 42004AFX;D; 42005AFX;D; 601CJBFX;E; 604C3DFX;D"
2;B;non;64,4;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"109A13FX; 201105RE; 340101MQ; 42004AFX; 42005AFX; 42006AFX";aucune donnée
5;B;non;63,13;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"201105RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX";"201016RE;C; 42005BFX;C; 42007BFX;B; 42014BFX;C; 42016BFX;C"
4;B;non;74,75;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109C22FX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109A01FX;C; 370CJAIN;C; 42005BFX;B; 42007BFX;C; 42014BFX;D; 601102MQ;E; 604C2GFX;B"
2;A;non;0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"20101AFX; 42004AFX; 42007BFX; 42016BFX";"109A01FX;C; 42004AFX;E; 42005AFX;C; 42006AFX;D; 601101MQ;C"
2;B;non;55,31;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"20101AFX; 340101MQ; 42004AFX; 42005AFX; 42006AFX";"109B02FX;E; 41001AFX;E; 410124FX;D; 410144FX;E; 412133FX;E; 604014FX;E"
3;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"20101AFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601101MQ";"109A13FX;C; 340101MQ;D; 42004AFX;D; 42005AFX;B; 42006AFX;C; 601101MQ;E; 604014FX;C"
1;B;non;72,58;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42005BFX; 42007BFX; 42014BFX";"42004AFX;B; 42005AFX;D; 42006AFX;A; 42016BFX;B"
1;B;non;75,35;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201105RE; 42004AFX; 42005AFX; 42006AFX";"109B28FX;E; 305CM3FX;E; 340101MQ;E; 601101MQ;E; 604102MQ;E"
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"20101AFX; 340102MQ; 42005CFX; 42006CFX; 42014BFX; 601102MQ";"42005BFX;C; 42006AFX;A; 42007BFX;C; 42014BFX;E; 42016BFX;D; 601101MQ;D; 604102MQ;C"
2;B;non;62,22;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"20101AFX; 42007BFX; 42016BFX; 601102MQ; 604C2GFX";"109C08FX;D; 42004AFX;D; 42005AFX;D; 42006AFX;C; 601102MQ;E; 604102MQ;D"
3;B;non;74,85;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX";"42004AFX;A; 42005AFX;A; 42006AFX;A"
3;B;non;82,72;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42005BFX; 42007BFX; 42014BFX; 42016BFX";"42004AFX;A; 42005AFX;A; 42006AFX;A"
2;A;non;0;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42004AFX; 42005AFX; 42006AFX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109A13FX; 201105RE; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601101MQ";aucune donnée
1;I;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109A01FX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
5;I;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109A01FX; 20101AFX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109A01FX; 20101AFX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109A13FX; 340102MQ; 42005BFX; 42007BFX; 42014BFX; 42016BFX; 601102MQ; 604100MQ";"109B22FX;B; 201105RE;C; 340101MQ;D; 42004AFX;B; 42005AFX;B; 42006AFX;B; 601101MQ;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109B02FX; 201105RE; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109B28FX; 340101MQ; 42006AFX; 601101MQ";aucune donnée
5;I;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"20101AFX; 340101MQ; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"201105RE; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109A01FX; 20101AFX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
1;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;oui;RT;non;non;"109B22FX; 20101AFX; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";aucune donnée
2;A;non;78;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"109B09FX; 340101MQ; 42006AFX; 601101MQ";aucune donnée
1;A;non;81,66;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"109B01FX; 201105RE; 340101MQ; 42004AFX; 42005AFX; 42006AFX; 601101MQ";aucune donnée
